event	type	value	time
710	S	1	394.966724
711	removal	1	395.566358
712	S	4	395.816306
713	removal	4	396.415525
714	S	3	396.666050
715	removal	3	397.265997
716	S	2	397.515946
717	removal	2	398.115691
718	S	4	398.365815
719	removal	4	398.965286
720	S	1	399.215183
721	removal	1	399.814712
722	S	3	400.064528
723	removal	3	400.664694
724	S	4	400.914623
725	removal	4	401.514309
726	S	2	401.764233
727	removal	2	402.364086
728	S	1	402.614171
729	removal	1	403.213817
730	S	2	403.463957
731	removal	2	404.063412
732	S	3	404.313228
733	removal	3	404.913037
734	S	1	405.163092
735	removal	1	405.763070
736	S	4	406.012840
737	removal	4	406.612525
738	S	3	406.862805
739	removal	3	407.462559
740	S	2	407.711839
741	removal	2	408.312303
742	S	4	408.561919
743	removal	4	409.161880
744	S	1	409.411929
745	removal	1	410.011978
746	S	3	410.261431
747	removal	3	410.861461
748	S	4	411.111611
749	removal	4	411.711131
750	S	2	411.960490
751	removal	2	412.561066
752	S	1	412.810903
753	removal	1	413.410893
754	S	2	413.660568
755	removal	2	414.259632
756	S	3	414.510310
757	removal	3	415.109399
758	S	1	415.360219
759	removal	1	415.959485
760	S	4	416.209354
761	removal	4	416.809590
762	S	3	417.059502
763	removal	3	417.659154
764	S	2	417.908566
765	removal	2	418.508440
766	S	4	418.758055
767	removal	4	419.358542
768	S	1	419.608562
769	removal	1	420.207958
770	S	3	420.457692
771	removal	3	421.057768
772	S	4	421.307660
773	removal	4	421.907464
774	S	2	422.157679
775	removal	2	422.757190
776	S	1	423.007105
777	removal	1	423.606810
778	S	2	423.856715
779	removal	2	424.456403
780	S	3	424.706592
781	removal	3	425.306431
782	S	1	425.556650
783	removal	1	426.156454
784	rest	+	426.406080
785	cue	R	438.418414
786	R	3	440.417738
787	removal	3	441.017827
788	R	2	441.267866
789	removal	2	441.867402
790	R	4	442.117734
791	removal	4	442.717282
792	R	1	442.967466
793	removal	1	443.567161
794	R	4	443.816538
795	removal	4	444.416730
796	R	1	444.666517
797	removal	1	445.266735
798	R	3	445.516394
799	removal	3	446.116281
800	R	2	446.365988
801	removal	2	446.966138
802	R	4	447.215662
803	removal	4	447.815989
804	R	3	448.065713
805	removal	3	448.665332
806	R	1	448.914895
807	removal	1	449.514758
808	R	2	449.765351
809	removal	2	450.364806
810	R	3	450.614755
811	removal	3	451.214153
812	R	4	451.464578
813	removal	4	452.064245
814	R	2	452.313820
815	removal	2	452.913649
816	R	1	453.164120
817	removal	1	453.763742
818	R	3	454.013899
819	removal	3	454.613690
820	R	4	454.863545
821	removal	4	455.463349
822	R	2	455.712895
823	removal	2	456.312675
824	R	1	456.562375
825	removal	1	457.162523
826	R	3	457.412696
827	removal	3	458.012406
828	R	2	458.262499
829	removal	2	458.861922
830	R	4	459.112237
831	removal	4	459.711865
832	R	1	459.961541
833	removal	1	460.561764
834	rest	+	460.811344
